Date,AESO_Power_Demand,Calgary_Weather,Edmonton_Weather,FtMac_Weather
1/1/2014,9641,-5.15,-17.92,-32.4
1/2/2014,9648,-0.7,-6.69,-15.45
1/3/2014,9979,-4.1,-5.56,-19.3
1/4/2014,10044,-16.5,-18.86,-30.1
1/5/2014,9956,-19.95,-26.64,-32
1/6/2014,10037,-5.55,-15.36,-24.65
1/7/2014,9933,-6.4,-13.25,-28.35
1/8/2014,9789,-2.85,-11.84,-17.15
1/9/2014,9714,-1.2,-6.06,-10.85
1/10/2014,9581,-3.3,-6.5,-15.95
1/11/2014,9346,-1.05,-6.36,-15.4
1/12/2014,9555,-2.75,-7.56,-18.9
1/13/2014,9784,0.15,-3.14,-21.25
1/14/2014,9521,0.2,0.8,-15.05
1/15/2014,9234,4.35,2.41,-0.95
1/16/2014,9424,2.75,0.47,-5.45
1/17/2014,9443,4.85,3.2,-1.9
1/18/2014,9198,4.2,2.08,-4.3
1/19/2014,9560,2.3,1.5,-17.6
1/20/2014,9656,-1.45,-4,-21.75
1/21/2014,9780,-1.3,-1.7,-18.7
1/22/2014,9722,-4.6,-6.64,-19.9
1/23/2014,9650,1.7,-2.86,-6.55
1/24/2014,9422,6.5,5.44,-0.05
1/25/2014,9430,5.85,5,-6.9
1/26/2014,9926,-5,-5.3,-17.75
1/27/2014,10045,-11.15,-15.11,-26.3
1/28/2014,9802,-3.1,-6.56,-16.8
1/29/2014,10029,-5.15,-6.58,-22.8
1/30/2014,10165,-14.05,-16.86,-20.35
1/31/2014,9905,-13.35,-14.56,-18.3
2/1/2014,9689,-12.4,-11.44,-14.3
2/2/2014,9630,-12.1,-12.14,-14.45
2/3/2014,10040,-16.45,-14,-19.85
2/4/2014,10092,-21.55,-19.36,-22.5
2/5/2014,10085,-23.55,-22.3,-24.75
2/6/2014,10115,-17.2,-17.94,-16.15
2/7/2014,10033,-17.35,-16.56,-20.7
2/8/2014,10022,-19.55,-17.47,-27.55
2/9/2014,10162,-22.1,-22.44,-27.65
2/10/2014,10275,-20.45,-23.56,-27.6
2/11/2014,10185,-18.95,-22.7,-27.75
