Date,Calgary_Weather,Edmonton_Weather,FtMac_Weather,AESO_POWER_DEMAND_LABEL
1/1/2014,-5.15,-17.92,-32.4,1
1/2/2014,-0.7,-6.69,-15.45,1
1/3/2014,-4.1,-5.56,-19.3,1
1/4/2014,-16.5,-18.86,-30.1,1
1/5/2014,-19.95,-26.64,-32,1
1/6/2014,-5.55,-15.36,-24.65,1
1/7/2014,-6.4,-13.25,-28.35,1
1/8/2014,-2.85,-11.84,-17.15,1
1/9/2014,-1.2,-6.06,-10.85,1
1/10/2014,-3.3,-6.5,-15.95,1
1/11/2014,-1.05,-6.36,-15.4,1
1/12/2014,-2.75,-7.56,-18.9,1
1/13/2014,0.15,-3.14,-21.25,1
1/14/2014,0.2,0.8,-15.05,1
1/15/2014,4.35,2.41,-0.95,1
1/16/2014,2.75,0.47,-5.45,1
1/17/2014,4.85,3.2,-1.9,1
1/18/2014,4.2,2.08,-4.3,1
1/19/2014,2.3,1.5,-17.6,1
1/20/2014,-1.45,-4,-21.75,1
1/21/2014,-1.3,-1.7,-18.7,1
1/22/2014,-4.6,-6.64,-19.9,1
1/23/2014,1.7,-2.86,-6.55,1
1/24/2014,6.5,5.44,-0.05,1
1/25/2014,5.85,5,-6.9,1
1/26/2014,-5,-5.3,-17.75,1
1/27/2014,-11.15,-15.11,-26.3,1
1/28/2014,-3.1,-6.56,-16.8,1
1/29/2014,-5.15,-6.58,-22.8,1
1/30/2014,-14.05,-16.86,-20.35,1
1/31/2014,-13.35,-14.56,-18.3,1
2/1/2014,-12.4,-11.44,-14.3,1
2/2/2014,-12.1,-12.14,-14.45,1
2/3/2014,-16.45,-14,-19.85,1
2/4/2014,-21.55,-19.36,-22.5,1
2/5/2014,-23.55,-22.3,-24.75,1
2/6/2014,-17.2,-17.94,-16.15,1
2/7/2014,-17.35,-16.56,-20.7,1
2/8/2014,-19.55,-17.47,-27.55,1
2/9/2014,-22.1,-22.44,-27.65,1
2/10/2014,-20.45,-23.56,-27.6,1
2/11/2014,-18.95,-22.7,-27.75,1
2/12/2014,-12.4,-17.56,-28.4,1
2/13/2014,-3.25,-15,-18.15,1
2/14/2014,-1.85,-10.08,-18.45,1
2/15/2014,-1,-6.19,-8.95,1
2/16/2014,-1.55,-5.86,-11.5,1
2/17/2014,0.15,-2.94,-11,1
2/18/2014,-0.85,-3.58,-10.25,1
