Date,amountofcredit,Gender,Education,MaritalStatus,Age,LastPayment,Defaultscore
7/19/2010,180000.0,1.0,2.0,2.0,24.0,-2.0,0.0
7/20/2010,50000.0,1.0,2.0,2.0,33.0,1.0,1.0
7/21/2010,150000.0,2.0,1.0,1.0,29.0,-1.0,1.0
7/22/2010,340000.0,2.0,1.0,2.0,30.0,1.0,1.0
7/23/2010,300000.0,2.0,2.0,2.0,33.0,0.0,0.0
7/24/2010,150000.0,2.0,1.0,1.0,36.0,-1.0,1.0
7/25/2010,30000.0,1.0,1.0,2.0,38.0,2.0,0.0
7/26/2010,50000.0,1.0,2.0,2.0,52.0,0.0,0.0
7/27/2010,100000.0,1.0,1.0,1.0,42.0,-1.0,1.0
7/28/2010,270000.0,2.0,2.0,1.0,35.0,-1.0,0.0
7/29/2010,320000.0,1.0,1.0,1.0,43.0,-1.0,1.0
7/30/2010,160000.0,1.0,2.0,2.0,26.0,-1.0,0.0
7/31/2010,300000.0,2.0,1.0,2.0,26.0,0.0,0.0
8/1/2010,30000.0,2.0,2.0,1.0,49.0,0.0,1.0
8/2/2010,290000.0,1.0,3.0,1.0,41.0,-2.0,0.0
8/3/2010,180000.0,2.0,2.0,1.0,49.0,-2.0,0.0
8/4/2010,150000.0,1.0,1.0,1.0,57.0,-2.0,0.0
8/5/2010,60000.0,2.0,2.0,1.0,30.0,-1.0,0.0
8/6/2010,260000.0,2.0,1.0,2.0,33.0,-2.0,0.0
8/7/2010,150000.0,1.0,2.0,1.0,32.0,0.0,1.0
8/8/2010,230000.0,1.0,3.0,1.0,55.0,0.0,1.0
8/9/2010,250000.0,2.0,1.0,2.0,29.0,1.0,1.0
8/10/2010,70000.0,2.0,2.0,1.0,29.0,1.0,1.0
8/11/2010,360000.0,1.0,3.0,1.0,44.0,-1.0,1.0
8/12/2010,200000.0,1.0,1.0,1.0,34.0,-1.0,1.0
8/13/2010,30000.0,2.0,1.0,2.0,30.0,1.0,1.0
8/14/2010,20000.0,1.0,2.0,1.0,30.0,-1.0,0.0
8/15/2010,80000.0,1.0,3.0,2.0,66.0,0.0,0.0
8/16/2010,260000.0,2.0,1.0,2.0,32.0,-2.0,0.0
8/17/2010,210000.0,2.0,2.0,1.0,35.0,0.0,0.0
8/18/2010,50000.0,1.0,3.0,1.0,35.0,0.0,0.0
8/19/2010,140000.0,1.0,1.0,2.0,26.0,0.0,0.0
8/20/2010,90000.0,1.0,3.0,1.0,42.0,2.0,0.0
8/21/2010,20000.0,1.0,2.0,1.0,31.0,0.0,0.0
8/22/2010,360000.0,1.0,1.0,1.0,44.0,-1.0,0.0
8/23/2010,580000.0,2.0,2.0,1.0,57.0,-1.0,0.0
8/24/2010,180000.0,1.0,2.0,2.0,39.0,0.0,0.0
8/25/2010,60000.0,1.0,2.0,1.0,51.0,0.0,0.0
8/26/2010,60000.0,2.0,2.0,1.0,25.0,0.0,0.0
8/27/2010,50000.0,1.0,2.0,2.0,30.0,0.0,0.0
8/28/2010,100000.0,2.0,2.0,1.0,39.0,-1.0,0.0
8/29/2010,380000.0,1.0,1.0,1.0,46.0,0.0,0.0
8/30/2010,310000.0,2.0,1.0,1.0,37.0,-1.0,0.0
8/31/2010,50000.0,1.0,2.0,2.0,37.0,1.0,1.0
9/1/2010,20000.0,1.0,2.0,2.0,33.0,0.0,0.0
9/2/2010,30000.0,2.0,2.0,2.0,50.0,0.0,0.0
9/3/2010,50000.0,2.0,2.0,2.0,32.0,1.0,1.0
9/4/2010,30000.0,2.0,3.0,3.0,52.0,1.0,1.0
9/5/2010,490000.0,1.0,1.0,1.0,42.0,0.0,0.0
9/6/2010,500000.0,2.0,1.0,2.0,34.0,-1.0,0.0
9/7/2010,80000.0,1.0,3.0,2.0,27.0,0.0,0.0
9/8/2010,200000.0,1.0,2.0,1.0,33.0,0.0,0.0
9/9/2010,360000.0,1.0,1.0,2.0,29.0,1.0,1.0
9/10/2010,30000.0,1.0,2.0,1.0,39.0,1.0,1.0
9/11/2010,170000.0,2.0,1.0,1.0,36.0,1.0,1.0
9/12/2010,10000.0,1.0,2.0,2.0,21.0,1.0,1.0
9/13/2010,230000.0,2.0,2.0,1.0,52.0,1.0,1.0
9/14/2010,200000.0,1.0,1.0,1.0,49.0,-1.0,1.0
9/15/2010,160000.0,2.0,1.0,2.0,35.0,1.0,1.0
9/16/2010,270000.0,1.0,2.0,1.0,34.0,2.0,1.0
9/17/2010,80000.0,1.0,2.0,2.0,28.0,1.0,1.0
9/18/2010,360000.0,2.0,1.0,2.0,29.0,-1.0,1.0
9/19/2010,140000.0,2.0,2.0,2.0,27.0,1.0,1.0
9/20/2010,80000.0,2.0,3.0,2.0,43.0,0.0,0.0
9/21/2010,200000.0,2.0,1.0,2.0,25.0,0.0,0.0
9/22/2010,80000.0,2.0,1.0,2.0,25.0,-1.0,0.0
9/23/2010,390000.0,1.0,1.0,1.0,35.0,0.0,0.0
9/24/2010,80000.0,2.0,2.0,2.0,31.0,-1.0,1.0
9/25/2010,80000.0,2.0,3.0,1.0,44.0,0.0,1.0
9/26/2010,20000.0,1.0,2.0,1.0,31.0,1.0,1.0
9/27/2010,30000.0,2.0,3.0,2.0,22.0,0.0,1.0
9/28/2010,60000.0,1.0,5.0,2.0,23.0,-1.0,1.0
9/29/2010,100000.0,2.0,2.0,2.0,25.0,1.0,1.0
9/30/2010,100000.0,1.0,2.0,1.0,52.0,1.0,1.0
10/1/2010,40000.0,2.0,3.0,1.0,48.0,1.0,1.0
10/2/2010,120000.0,2.0,1.0,2.0,30.0,-1.0,1.0
10/3/2010,20000.0,2.0,3.0,1.0,56.0,1.0,1.0
10/4/2010,310000.0,2.0,2.0,2.0,26.0,0.0,0.0
10/5/2010,50000.0,1.0,2.0,2.0,23.0,1.0,1.0
10/6/2010,500000.0,1.0,2.0,1.0,49.0,1.0,0.0
10/7/2010,290000.0,1.0,3.0,1.0,40.0,0.0,0.0
10/8/2010,30000.0,1.0,2.0,2.0,34.0,0.0,0.0
10/9/2010,100000.0,2.0,1.0,2.0,23.0,-1.0,0.0
10/10/2010,360000.0,2.0,1.0,2.0,31.0,-1.0,0.0
