Date,Open,High,Low,Close,Volume
5/21/2013,82.650002,83.330002,82.120003,82.900002,2674600
5/22/2013,82.970001,84.220001,82.199997,82.519997,3092700
5/23/2013,81.760002,82.75,81.099998,82.519997,2760000
5/24/2013,82.040001,82.389999,80.779999,82.220001,2207000
5/28/2013,83.269997,83.440002,82.760002,83.089996,2105300
5/29/2013,82.519997,83.370003,82.349998,82.949997,2457800
5/30/2013,83.019997,83.400002,82.779999,82.839996,2195600
5/31/2013,82.25,83.5,82,82.110001,3134700
6/3/2013,82.480003,82.610001,81.599998,82.099998,2018900
6/4/2013,82,82.290001,80.940002,81.25,3340300
6/5/2013,81.25,81.25,79.370003,79.580002,2433400
6/6/2013,79.739998,80.050003,78.769997,79.550003,2721400
6/7/2013,80.839996,80.949997,80.059998,80.900002,2916700
6/10/2013,81.279999,81.589996,80.599998,81.550003,2127600
6/11/2013,80.639999,81.599998,80.360001,80.410004,1971000
6/12/2013,80.839996,81,79.650002,79.709999,1462600
6/13/2013,79.889999,81.379997,79.440002,81.080002,2150500
6/14/2013,80.910004,81.650002,80.32,80.550003,1367400
6/17/2013,81.279999,82.949997,81.110001,82.449997,2473400
6/18/2013,82.639999,83.300003,82.139999,82.93,1862600
6/19/2013,82.870003,83.029999,81.82,81.830002,1876400
6/20/2013,81.110001,81.510002,79.370003,79.519997,2885900
6/21/2013,79.690002,79.919998,78.779999,79.400002,4554900
6/24/2013,79.059998,79.870003,78.849998,79.160004,2516500
6/25/2013,80.050003,80.169998,79.25,79.660004,2898100
6/26/2013,80.480003,80.480003,79.43,79.559998,3065500
6/27/2013,80.220001,80.919998,79.839996,80.220001,4106900
6/28/2013,71.800003,72.25,69,71.959999,28284300
7/1/2013,72.139999,73.510002,72,72.099998,6396100
7/2/2013,71.730003,72.449997,71.389999,72.120003,4684700
7/3/2013,71.879997,73,71.879997,72.68,2903300
7/5/2013,73.25,74.089996,73,73.639999,3125500
7/8/2013,74.010002,74.860001,73.760002,74.470001,4583900
7/9/2013,74.860001,74.980003,73.839996,74.099998,4338500
7/10/2013,74.220001,74.5,73.730003,74.349998,3546500
7/11/2013,75,75.580002,74.889999,75.199997,4098000
7/12/2013,75.5,75.739998,74.959999,75.519997,3508400
7/15/2013,75.809998,76.290001,75.349998,76.25,2247400
7/16/2013,75.980003,76.620003,74.68,75.290001,3676300
7/17/2013,75.760002,75.769997,74.970001,75.160004,3335500
7/18/2013,75.050003,75.980003,75.010002,75.440002,2646900
7/19/2013,75.559998,75.559998,74.540001,75.220001,4100500
7/22/2013,75.830002,75.889999,74.879997,75,2697300
7/23/2013,75.139999,75.190002,74.230003,74.25,2495000
7/24/2013,74.589996,74.949997,73.510002,73.720001,2318300
7/25/2013,73.5,73.980003,73.019997,73.139999,3265100
7/26/2013,73.139999,73.150002,72.160004,73.120003,3391100
7/29/2013,72.839996,72.839996,72.150002,72.370003,3101600
7/30/2013,73.360001,73.919998,72.550003,73.739998,3977100
7/31/2013,73.690002,74.830002,73.470001,73.809998,3839600
8/1/2013,74.209999,74.970001,73.75,74.849998,2972200
8/2/2013,74.339996,74.639999,74,74.589996,4042600
8/5/2013,74.389999,74.779999,74.099998,74.230003,2556000
8/6/2013,74.010002,74.5,73.190002,73.25,3261600
8/7/2013,73.07,73.400002,72.57,73,2584200
8/8/2013,72.809998,73.599998,72.620003,72.980003,3151600
8/9/2013,73.029999,73.910004,73.029999,73.529999,3196300
8/12/2013,72.989998,73.699997,72.580002,72.790001,2944300
8/13/2013,73,73.18,72.610001,72.879997,2769500
8/14/2013,72.709999,72.870003,71.389999,71.5,4341200
8/15/2013,70.669998,71.959999,70.5,71.529999,3651300
8/16/2013,71.370003,71.870003,71.169998,71.650002,3396300
8/19/2013,71.629997,72.370003,71.400002,71.669998,3138400
8/20/2013,71.68,72.650002,71.400002,72.160004,3078500
8/21/2013,72.120003,73.269997,71.980003,72.809998,3539800
8/22/2013,72.839996,74.5,72.790001,74.099998,3467200
8/23/2013,74.540001,74.650002,73.660004,74.010002,2836500
8/26/2013,73.879997,74.559998,73.720001,73.730003,2009700
8/27/2013,72.919998,73.230003,72.110001,72.239998,2836900
8/28/2013,72.349998,72.769997,72,72.449997,2002800
8/29/2013,72.32,73.220001,72.139999,72.720001,1828100
8/30/2013,72.769997,72.870003,71.769997,72.25,2709900
9/3/2013,72.720001,73.529999,72.669998,73.080002,3186000
9/4/2013,73.080002,73.330002,72.529999,73.050003,2079400
9/5/2013,73,74.260002,73,74,2390800
9/6/2013,74.120003,74.599998,73.150002,73.209999,2984700
9/9/2013,73.5,73.75,73.260002,73.580002,2827700
9/10/2013,74,74.940002,73.940002,74.739998,2017500
9/11/2013,74.760002,75.660004,74.709999,75,3266100
9/12/2013,74.989998,75.230003,74.080002,74.160004,3104500
9/13/2013,74.5,74.730003,74.019997,74.5,2328700
9/16/2013,75.339996,76.510002,75.339996,76.339996,3258500
9/17/2013,76.269997,76.879997,75.980003,76.610001,2549100
9/18/2013,76.739998,78.059998,76.339996,77.790001,2761200
9/19/2013,78.050003,78.330002,77.459999,77.550003,2830300
9/20/2013,77.599998,78.339996,77.230003,77.32,4290400
9/23/2013,77.099998,77.5,76.290001,76.360001,2870600
9/24/2013,76.290001,76.650002,74.75,75.139999,5160600
9/25/2013,75.440002,76.330002,75,76.120003,3259800
9/26/2013,76.5,76.730003,75.620003,75.870003,5003300
9/27/2013,74.5,74.650002,72.360001,74.089996,8859200
9/30/2013,74.059998,74.190002,73.5,73.639999,5534400
10/1/2013,73.540001,74.519997,73.309998,73.82,2529400
10/2/2013,73.379997,73.699997,73.010002,73.510002,2512100
10/3/2013,73.370003,73.599998,73.010002,73.139999,2760900
10/4/2013,73.330002,73.82,72.989998,73.260002,2241300
10/7/2013,72.510002,73.470001,72.309998,72.349998,2966300
10/8/2013,72.510002,72.919998,70.730003,71.089996,5089300
10/9/2013,70.580002,70.75,69.779999,70.279999,5006100
10/10/2013,70.989998,71.440002,70.809998,71.260002,3247200
10/11/2013,71.559998,72.75,71.349998,72.709999,2747800
10/14/2013,72.169998,72.830002,71.949997,72.660004,1734000
10/15/2013,72.260002,72.519997,71.559998,71.599998,2267800
10/16/2013,72.010002,72.669998,71.830002,72.43,2441000
10/17/2013,71.809998,72.910004,71.559998,72.849998,2998300
10/18/2013,72.949997,73.110001,72.309998,72.879997,4100600
10/21/2013,73.029999,73.599998,72.849998,73.529999,3067200
10/22/2013,73.620003,74.160004,73.269997,73.949997,2990800
10/23/2013,73.650002,73.910004,73.269997,73.779999,2711500
10/24/2013,73.739998,73.970001,73.349998,73.5,3761200
10/25/2013,73.5,73.760002,73.300003,73.610001,2564900
10/28/2013,73.599998,74.440002,73.440002,74.32,2893600
10/29/2013,74.449997,74.949997,74.300003,74.910004,2780700
10/30/2013,74.779999,75.260002,74.209999,74.25,2835000
10/31/2013,74.239998,74.370003,73.5,73.5,2773600
11/1/2013,73.889999,74.160004,72.919998,73,3300700
11/4/2013,73.099998,73.230003,72.540001,72.709999,2942700
11/5/2013,72.790001,73.75,72.330002,73.360001,2834800
11/6/2013,73.440002,75.230003,73.43,75.040001,4268900
11/7/2013,74.370003,76.279999,74.370003,75.550003,4435800
11/8/2013,75.389999,75.989998,75.019997,75.239998,2909400
11/11/2013,75.150002,75.709999,75,75.489998,1778200
11/12/2013,75.440002,76.599998,75.309998,76.300003,4196900
11/13/2013,76.239998,77.57,75.559998,77.410004,3826800
11/14/2013,76.809998,77.580002,76.279999,77.059998,3943500
11/15/2013,77.470001,78.510002,77.410004,78.019997,6371000
11/18/2013,78.019997,79.449997,77.959999,78.519997,3836600
11/19/2013,78.639999,79.239998,78.400002,78.470001,2720600
11/20/2013,78.470001,79.300003,77.860001,78.160004,2447600
11/21/2013,78.360001,78.720001,77.879997,78.43,2201500
11/22/2013,78.489998,78.529999,77.650002,77.839996,2175200
11/25/2013,77.82,77.959999,77.050003,77.209999,1863000
11/26/2013,77.379997,77.959999,77.260002,77.370003,2002800
11/27/2013,77.410004,78.010002,77.209999,77.610001,1755200
11/29/2013,77.75,78.25,77.339996,77.470001,1560600
12/2/2013,77.419998,77.639999,76.150002,76.330002,2489300
12/3/2013,76.330002,77.239998,76.029999,77.089996,2138700
12/4/2013,75.5,76.349998,75.139999,76.07,3550500
12/5/2013,76.139999,76.290001,75.629997,75.790001,2197300
12/6/2013,75.970001,76.220001,75.169998,75.529999,3259400
12/9/2013,75.639999,75.980003,75.010002,75.129997,2434400
12/10/2013,75.110001,75.690002,74.370003,75.410004,2350700
12/11/2013,75.510002,76,74.279999,74.400002,3000800
12/12/2013,74.419998,74.870003,74.040001,74.080002,3266300
12/13/2013,74.269997,74.620003,73.790001,73.940002,2841400
12/16/2013,74.089996,74.860001,74.089996,74.620003,4172100
12/17/2013,74.529999,74.790001,73.959999,74,4082900
12/18/2013,74.150002,75.800003,74.150002,75.620003,6325600
12/19/2013,77.519997,79.949997,77.489998,79.510002,10933800
12/20/2013,79.720001,80.980003,79.599998,80.550003,6782700
12/23/2013,80.510002,81.699997,79.980003,81.550003,4405000
12/24/2013,80.860001,81.389999,80.650002,81.309998,1564700
12/26/2013,81.470001,82.529999,81.230003,82.150002,2399200
12/27/2013,82.459999,83.449997,82.43,82.510002,2466200
12/30/2013,81.709999,82.199997,80.68,82.059998,2551900
12/31/2013,81.68,82.459999,81.480003,82.220001,2113800
1/2/2014,81.5,81.919998,81.089996,81.129997,2405400
1/3/2014,81.209999,81.82,81.089996,81.400002,1812600
1/6/2014,81.309998,81.5,80.440002,80.540001,2312300
1/7/2014,80.839996,81.940002,80.660004,81.519997,3368400
1/8/2014,81.290001,82.199997,81.25,82.150002,4217400
1/9/2014,82.019997,83.050003,82,82.949997,4054200
1/10/2014,82.75,83.220001,82.389999,83.199997,4369200
1/13/2014,82.709999,82.739998,80.800003,81.059998,3941400
1/14/2014,80.779999,82.25,80.709999,81.949997,3288600
1/15/2014,82.089996,84.309998,81.610001,84.220001,4284900
1/16/2014,83.540001,84.260002,83.139999,84.120003,4183500
1/17/2014,83.639999,84.900002,83.629997,84.43,3762200
1/21/2014,84.220001,85.040001,83.860001,84.93,3031300
1/22/2014,84.459999,85.879997,84.459999,85.400002,3564100
1/23/2014,84.809998,85.07,83.5,83.919998,4147500
1/24/2014,83.290001,83.300003,81.169998,81.18,3370800
1/27/2014,81.339996,81.900002,80.18,81.150002,2640300
1/28/2014,81.730003,81.910004,80.93,81.300003,2995700
1/29/2014,81.269997,81.769997,80.129997,80.32,2703500
1/30/2014,81.050003,81.339996,80.190002,80.720001,2244700
1/31/2014,80,80.379997,78.82,79.879997,3696800
2/3/2014,80.019997,80.68,77.660004,78.089996,3745100
2/4/2014,78.389999,78.510002,77.900002,78.080002,2608200
2/5/2014,77.870003,78.529999,77.419998,77.57,3163200
2/6/2014,77.870003,78.739998,77.790001,78.519997,2224800
2/7/2014,78.809998,80.730003,78.669998,80.580002,3437500
2/10/2014,80.190002,80.580002,79.779999,79.970001,2399900
2/11/2014,80.529999,80.889999,80.150002,80.550003,2159900
2/12/2014,80.839996,81.839996,80.839996,81.209999,2489300
2/13/2014,80.860001,81.980003,80.629997,81.739998,1895000
2/14/2014,81.730003,82.43,81.379997,82.110001,2024000
2/18/2014,82.099998,82.75,81.779999,82.589996,2013800
2/19/2014,82.419998,83.739998,82.239998,83.260002,3801400
2/20/2014,83.160004,83.589996,82.940002,83.379997,2465300
2/21/2014,83.599998,84.190002,83.529999,83.800003,2366600
2/24/2014,83.709999,84.75,83.610001,83.949997,1843100
2/25/2014,84,84,82.970001,83.410004,2189700
2/26/2014,83.760002,83.800003,83.110001,83.400002,1987600
2/27/2014,82.400002,83.690002,81.940002,83.360001,2108000
2/28/2014,83.309998,83.809998,82.730003,83.349998,2420000
3/3/2014,82.559998,82.75,81.779999,82.5,1970600
3/4/2014,83.419998,84.629997,83.360001,83.980003,2217800
3/5/2014,83.940002,84.209999,83.480003,84.110001,1793900
3/6/2014,84.239998,84.360001,83.589996,83.800003,1976200
3/7/2014,84.32,84.690002,83.599998,83.93,1951800
